nome,simbolo,preco
Bitcoin,btc,65983.0
Ethereum,eth,1829.37
Tether,usdt,0.998658
BNB,bnb,627.53
USDC,usdc,0.999651
XRP,xrp,1.22
Solana,sol,73.21
TRON,trx,0.333516
Figure Heloc,figr_heloc,1.03
Hyperliquid,hype,73.72
Dogecoin,doge,0.092609
USDS,usds,0.999683
Zcash,zec,605.23
LEO Token,leo,10.06
Rain,rain,0.01407654
Cardano,ada,0.209452
Stellar,xlm,0.219926
Monero,xmr,355.03
Chainlink,link,8.31
Canton,cc,0.154821
WhiteBIT Coin,wbt,48.07
LAB,lab,17.27
Toncoin,ton,2.0
Bitcoin Cash,bch,249.11
USD1,usd1,0.998281
Ethena USDe,usde,0.998761
Dai,dai,0.999602
MemeCore,m,3.31
Hedera,hbar,0.086159
Litecoin,ltc,47.66
NEAR Protocol,near,2.8
Avalanche,avax,8.14
Sui,sui,0.82354
Shiba Inu,shib,5.25e-06
PayPal USD,pyusd,0.999893
Circle USYC,usyc,1.13
Cronos,cro,0.062828
Tether Gold,xaut,4413.36
Global Dollar,usdg,1.0
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0
Bittensor,tao,228.71
Ondo US Dollar Yield,usdy,1.14
Ondo,ondo,0.422167
PAX Gold,paxg,4431.76
Mantle,mnt,0.603312
World Liberty Financial,wlfi,0.062188
Polkadot,dot,1.11
Ripple USD,rlusd,0.99979
Aster,aster,0.695109
Uniswap,uni,2.85
